Timestamp,Milliseconds,LinLeft,LinRight,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2025-10-05 17:32:56,152,20285,20264,1.006,0.001,-0.017,-8.362,0.916,1.404
2025-10-05 17:32:56,171,20285,20264,0.977,-0.026,-0.077,-8.24,-1.16,0.916
2025-10-05 17:32:56,190,20285,20264,1.027,0.016,0.017,-8.911,4.456,1.526
2025-10-05 17:32:56,209,20285,20264,1.029,-0.023,0.021,-8.545,4.395,1.099
2025-10-05 17:32:56,227,20285,20264,0.991,-0.003,0.02,-8.85,0.977,1.465
2025-10-05 17:32:56,247,20285,20264,0.946,-0.006,-0.082,-8.789,-7.935,1.709
2025-10-05 17:32:56,266,20285,20264,0.999,0.008,-0.063,-9.705,1.404,1.587
2025-10-05 17:32:56,285,20285,20264,0.994,0.011,-0.024,-9.216,6.592,1.465
2025-10-05 17:32:56,304,20285,20264,1.038,0.002,0.031,-9.521,6.897,1.77
2025-10-05 17:32:56,323,20285,20264,0.971,0.009,-0.051,-9.338,3.296,1.16
2025-10-05 17:32:56,341,20285,20264,0.991,-0.003,-0.012,-9.216,-7.141,1.648
2025-10-05 17:32:56,361,20285,20264,0.947,-0.042,-0.067,-9.583,0.977,0.427
2025-10-05 17:32:56,380,20285,20264,1.036,-0.013,0.002,-10.071,1.099,1.953
2025-10-05 17:32:56,398,20285,20264,1.043,0.013,0.009,-9.949,2.197,2.136
2025-10-05 17:32:56,418,20285,20264,1,0.039,-0,-9.216,0.732,1.709
2025-10-05 17:32:56,437,20285,20264,1.04,0.005,0.053,-8.728,3.113,1.038
2025-10-05 17:32:56,456,20285,20264,0.997,-0.011,0.033,-8.484,-3.723,1.77
2025-10-05 17:32:56,475,20285,20264,0.995,-0.012,-0.05,-8.85,-0.732,1.831
2025-10-05 17:32:56,494,20285,20264,0.992,-0.014,-0.07,-9.277,-1.892,1.709
2025-10-05 17:32:56,513,20285,20264,0.964,-0.042,-0.039,-8.789,2.441,0
2025-10-05 17:32:56,532,20285,20264,0.993,-0.036,0.017,-8.911,-1.587,1.099
2025-10-05 17:32:56,551,20285,20264,1.023,-0.024,-0.03,-9.155,-1.526,0.61
2025-10-05 17:32:56,570,20285,20264,1.037,0.014,-0.035,-9.094,-2.014,0.916
2025-10-05 17:32:56,589,20285,20264,1.007,0.014,-0.076,-8.24,-1.587,1.16
2025-10-05 17:32:56,608,20285,20264,0.983,0.024,-0.071,-6.409,-2.93,1.038
2025-10-05 17:32:56,627,20285,20264,0.952,-0.007,-0.094,-5.615,-0.488,0.427
2025-10-05 17:32:56,646,20285,20264,0.99,-0.026,-0.066,-6.165,-0.549,0.183
2025-10-05 17:32:56,665,20285,20264,1.021,-0.062,-0.048,-6.409,0.122,0.122
2025-10-05 17:32:56,683,20285,20264,0.992,-0.064,-0.099,-7.141,-0.732,0.549
2025-10-05 17:32:56,703,20285,20264,1.007,-0.048,-0.101,-8.118,-1.038,0
2025-10-05 17:32:56,722,20285,20264,1.003,-0.025,-0.101,-8.911,-0.732,-0.427
2025-10-05 17:32:56,741,20285,20264,1.005,0.008,-0.083,-9.094,-0.793,0
2025-10-05 17:32:56,760,20285,20264,0.977,0.041,-0.085,-7.69,-0.122,-0.549
2025-10-05 17:32:56,779,20285,20264,0.956,0.072,-0.125,-7.141,-0.183,0.977
2025-10-05 17:32:56,798,20285,20264,0.981,0.044,-0.127,-7.812,-1.16,1.648
2025-10-05 17:32:56,816,20285,20264,1.044,-0.001,-0.064,-7.751,1.282,1.648
2025-10-05 17:32:56,836,20285,20264,0.994,-0.05,-0.062,-7.751,-1.648,1.221
2025-10-05 17:32:56,855,20285,20264,0.969,-0.061,-0.144,-8.179,-2.991,0.854
2025-10-05 17:32:56,874,20285,20264,0.942,-0.039,-0.197,-8.423,-0.732,0.793
2025-10-05 17:32:56,893,20285,20264,0.984,0.004,-0.137,-9.094,0.977,0.549
2025-10-05 17:32:56,912,20285,20264,1.011,0.041,-0.077,-8.057,-0.732,1.526
2025-10-05 17:32:56,931,20285,20264,1.017,0.04,-0.073,-6.897,-0.977,0.854
2025-10-05 17:32:56,950,20305,20264,0.975,0.002,-0.162,-5.554,-2.747,-0.305
2025-10-05 17:32:56,969,20285,20264,1.015,-0.023,-0.106,-5.493,1.587,0.671
2025-10-05 17:32:56,988,20285,20264,1.032,-0.049,-0.055,-4.944,2.136,0.366
2025-10-05 17:32:57,19,20285,20264,0.986,-0.048,-0.1,-5.31,-0.61,0.793
2025-10-05 17:32:57,38,20285,20264,0.956,-0.062,-0.155,-4.639,-1.465,-0.671
2025-10-05 17:32:57,56,20285,20264,0.971,-0.039,-0.141,-4.517,-1.587,-1.221
2025-10-05 17:32:57,76,20285,20264,0.981,-0.023,-0.085,-3.723,0.061,-0.488
2025-10-05 17:32:57,95,20285,20264,0.984,0.035,-0.075,-3.479,-0.854,0.977
2025-10-05 17:32:57,114,20285,20264,1.008,0.022,-0.111,-2.38,1.099,-0.305
2025-10-05 17:32:57,133,20285,20264,1.002,-0.015,-0.127,-2.686,-1.099,-0.61
2025-10-05 17:32:57,152,20285,20264,0.968,-0.081,-0.131,-2.502,2.075,-0.671
2025-10-05 17:32:57,170,20285,20264,0.986,-0.08,-0.11,-3.357,-1.587,0.366
2025-10-05 17:32:57,190,20285,20264,0.988,-0.051,-0.079,-3.601,-0.183,-0.305
